#       Tempo      Altitude       Vel rad     Vel theta    Vel lambda    Raio balão
  13.20000000  909.14386665    4.83940270    0.00581993   -0.00096521    1.21750535
  13.30000000  909.62779536    4.83917154    0.00581966   -0.00096526    1.21751116
  13.40000000  910.11170095    4.83894036    0.00581938   -0.00096531    1.21751697
  13.50000000  910.59558342    4.83870918    0.00581910   -0.00096536    1.21752278
  13.60000000  911.07944278    4.83847798    0.00581883   -0.00096541    1.21752859
  13.70000000  911.56327901    4.83824677    0.00581855   -0.00096546    1.21753440
  13.80000000  912.04709213    4.83801555    0.00581827   -0.00096551    1.21754021
  13.90000000  912.53088212    4.83778431    0.00581800   -0.00096556    1.21754601
  14.00000000  913.01464899    4.83755307    0.00581772   -0.00096560    1.21755182
  14.10000000  913.49839273    4.83732181    0.00581744   -0.00096565    1.21755763
  14.20000000  913.98211334    4.83709054    0.00581717   -0.00096569    1.21756344
  14.30000000  914.46581083    4.83685926    0.00581689   -0.00096574    1.21756925
  14.40000000  914.94948519    4.83662797    0.00581661   -0.00096578    1.21757506
  14.50000000  915.43313642    4.83639667    0.00581634   -0.00096583    1.21758087
  14.60000000  915.91676452    4.83616536    0.00581606   -0.00096587    1.21758667
  14.70000000  916.40036948    4.83593404    0.00581578   -0.00096591    1.21759248
  14.80000000  916.88395132    4.83570270    0.00581550   -0.00096596    1.21759829
  14.90000000  917.36751002    4.83547136    0.00581523   -0.00096600    1.21760410
  15.00000000  917.85104559    4.83524001    0.00581495   -0.00096604    1.21760990
  15.10000000  918.33455802    4.83500864    0.00581467   -0.00096608    1.21761571
  15.20000000  918.81804731    4.83477726    0.00581440   -0.00096612    1.21762152
  15.30000000  919.30151347    4.83454588    0.00581412   -0.00096616    1.21762733
  15.40000000  919.78495648    4.83431448    0.00581384   -0.00096621    1.21763313
  15.50000000  920.26837636    4.83408307    0.00581357   -0.00096625    1.21763894
  15.60000000  920.75177309    4.83385165    0.00581329   -0.00096629    1.21764475
  15.70000000  921.23514668    4.83362022    0.00581301   -0.00096633    1.21765055
  15.80000000  921.71849713    4.83338878    0.00581274   -0.00096637    1.21765636
  15.90000000  922.20182443    4.83315733    0.00581246   -0.00096641    1.21766217
  16.00000000  922.68512859    4.83292587    0.00581218   -0.00096645    1.21766797
  16.10000000  923.16840960    4.83269440    0.00581190   -0.00096648    1.21767378
  16.20000000  923.65166746    4.83246292    0.00581163   -0.00096652    1.21767958
  16.30000000  924.13490218    4.83223143    0.00581135   -0.00096656    1.21768539
  16.40000000  924.61811374    4.83199992    0.00581107   -0.00096660    1.21769120
  16.50000000  925.10130216    4.83176841    0.00581080   -0.00096664    1.21769700
  16.60000000  925.58446742    4.83153689    0.00581052   -0.00096668    1.21770281
  16.70000000  926.06760953    4.83130535    0.00581024   -0.00096672    1.21770861
  16.80000000  926.55072849    4.83107381    0.00580996   -0.00096676    1.21771442
  16.90000000  927.03382429    4.83084225    0.00580969   -0.00096679    1.21772022
  17.00000000  927.51689693    4.83061069    0.00580941   -0.00096683    1.21772603
  17.10000000  927.99994642    4.83037911    0.00580913   -0.00096687    1.21773183
  17.20000000  928.48297275    4.83014753    0.00580886   -0.00096691    1.21773764
  17.30000000  928.96597592    4.82991593    0.00580858   -0.00096695    1.21774344
  17.40000000  929.44895593    4.82968432    0.00580830   -0.00096698    1.21774925
  17.50000000  929.93191278    4.82945270    0.00580802   -0.00096702    1.21775505
  17.60000000  930.41484647    4.82922108    0.00580775   -0.00096706    1.21776086
  17.70000000  930.89775699    4.82898944    0.00580747   -0.00096710    1.21776666
  17.80000000  931.38064435    4.82875779    0.00580719   -0.00096714    1.21777246
  17.90000000  931.86350854    4.82852613    0.00580692   -0.00096717    1.21777827
  18.00000000  932.34634957    4.82829446    0.00580664   -0.00096721    1.21778407
  18.10000000  932.82916743    4.82806278    0.00580636   -0.00096725    1.21778988
  18.20000000  933.31196212    4.82783109    0.00580608   -0.00096729    1.21779568
  18.30000000  933.79473364    4.82759939    0.00580581   -0.00096732    1.21780148
  18.40000000  934.27748199    4.82736768    0.00580553   -0.00096736    1.21780729
  18.50000000  934.76020717    4.82713595    0.00580525   -0.00096740    1.21781309
  18.60000000  935.24290918    4.82690422    0.00580497   -0.00096744    1.21781889
  18.70000000  935.72558801    4.82667248    0.00580470   -0.00096747    1.21782470
  18.80000000  936.20824367    4.82644073    0.00580442   -0.00096751    1.21783050
  18.90000000  936.69087615    4.82620896    0.00580414   -0.00096755    1.21783630
  19.00000000  937.17348546    4.82597719    0.00580387   -0.00096759    1.21784210
  19.10000000  937.65607158    4.82574540    0.00580359   -0.00096762    1.21784791
  19.20000000  938.13863453    4.82551361    0.00580331   -0.00096766    1.21785371
  19.30000000  938.62117430    4.82528180    0.00580303   -0.00096770    1.21785951
  19.40000000  939.10369089    4.82504999    0.00580276   -0.00096773    1.21786531
  19.50000000  939.58618429    4.82481816    0.00580248   -0.00096777    1.21787112
  19.60000000  940.06865451    4.82458633    0.00580220   -0.00096781    1.21787692
  19.70000000  940.55110155    4.82435448    0.00580192   -0.00096785    1.21788272
  19.80000000  941.03352540    4.82412262    0.00580165   -0.00096788    1.21788852
  19.90000000  941.51592607    4.82389075    0.00580137   -0.00096792    1.21789432
  20.00000000  941.99830355    4.82365887    0.00580109   -0.00096796    1.21790012
  20.10000000  942.48065784    4.82342699    0.00580081   -0.00096799    1.21790593
  20.20000000  942.96298894    4.82319509    0.00580054   -0.00096803    1.21791173
  20.30000000  943.44529685    4.82296318    0.00580026   -0.00096807    1.21791753
  20.40000000  943.92758157    4.82273126    0.00579998   -0.00096811    1.21792333
  20.50000000  944.40984310    4.82249933    0.00579970   -0.00096814    1.21792913
  20.60000000  944.89208143    4.82226739    0.00579942   -0.00096818    1.21793493
  20.70000000  945.37429657    4.82203543    0.00579915   -0.00096822    1.21794073
  20.80000000  945.85648851    4.82180347    0.00579887   -0.00096825    1.21794653
  20.90000000  946.33865726    4.82157150    0.00579859   -0.00096829    1.21795233
  21.00000000  946.82080281    4.82133952    0.00579831   -0.00096833    1.21795813
  21.10000000  947.30292516    4.82110752    0.00579804   -0.00096837    1.21796393
  21.20000000  947.78502431    4.82087552    0.00579776   -0.00096840    1.21796973
  21.30000000  948.26710026    4.82064351    0.00579748   -0.00096844    1.21797553
  21.40000000  948.74915301    4.82041148    0.00579720   -0.00096848    1.21798133
  21.50000000  949.23118255    4.82017945    0.00579693   -0.00096851    1.21798713
  21.60000000  949.71318889    4.81994740    0.00579665   -0.00096855    1.21799293
  21.70000000  950.19517202    4.81971535    0.00579637   -0.00096859    1.21799873
  21.80000000  950.67713195    4.81948328    0.00579609   -0.00096862    1.21800453
  21.90000000  951.15906867    4.81925120    0.00579581   -0.00096866    1.21801033
  22.00000000  951.64098219    4.81901912    0.00579554   -0.00096870    1.21801613
  22.10000000  952.12287249    4.81878702    0.00579526   -0.00096874    1.21802193
  22.20000000  952.60473959    4.81855491    0.00579498   -0.00096877    1.21802773
  22.30000000  953.08658347    4.81832279    0.00579470   -0.00096881    1.21803352
  22.40000000  953.56840414    4.81809067    0.00579443   -0.00096885    1.21803932
  22.50000000  954.05020160    4.81785853    0.00579415   -0.00096888    1.21804512
  22.60000000  954.53197584    4.81762638    0.00579387   -0.00096892    1.21805092
  22.70000000  955.01372687    4.81739422    0.00579359   -0.00096896    1.21805672
  22.80000000  955.49545468    4.81716205    0.00579331   -0.00096899    1.21806252
