#       Tempo      Altitude       Vel rad     Densid    Volume    Raio balão
  15.40000000  919.78495648    4.83431448    1.10420999    7.56201194    1.21763313
  15.50000000  920.26837636    4.83408307    1.10415718    7.56212013    1.21763894
  15.60000000  920.75177309    4.83385165    1.10410439    7.56222832    1.21764475
  15.70000000  921.23514668    4.83362022    1.10405159    7.56233651    1.21765055
  15.80000000  921.71849713    4.83338878    1.10399880    7.56244469    1.21765636
  15.90000000  922.20182443    4.83315733    1.10394602    7.56255288    1.21766217
  16.00000000  922.68512859    4.83292587    1.10389324    7.56266106    1.21766797
  16.10000000  923.16840960    4.83269440    1.10384046    7.56276925    1.21767378
  16.20000000  923.65166746    4.83246292    1.10378769    7.56287743    1.21767958
  16.30000000  924.13490218    4.83223143    1.10373493    7.56298561    1.21768539
  16.40000000  924.61811374    4.83199992    1.10368217    7.56309379    1.21769120
  16.50000000  925.10130216    4.83176841    1.10362941    7.56320197    1.21769700
  16.60000000  925.58446742    4.83153689    1.10357666    7.56331014    1.21770281
  16.70000000  926.06760953    4.83130535    1.10352391    7.56341832    1.21770861
  16.80000000  926.55072849    4.83107381    1.10347117    7.56352649    1.21771442
  16.90000000  927.03382429    4.83084225    1.10341843    7.56363467    1.21772022
  17.00000000  927.51689693    4.83061069    1.10336570    7.56374284    1.21772603
  17.10000000  927.99994642    4.83037911    1.10331297    7.56385101    1.21773183
  17.20000000  928.48297275    4.83014753    1.10326025    7.56395918    1.21773764
  17.30000000  928.96597592    4.82991593    1.10320753    7.56406735    1.21774344
  17.40000000  929.44895593    4.82968432    1.10315481    7.56417551    1.21774925
  17.50000000  929.93191278    4.82945270    1.10310210    7.56428368    1.21775505
  17.60000000  930.41484647    4.82922108    1.10304940    7.56439185    1.21776086
  17.70000000  930.89775699    4.82898944    1.10299669    7.56450001    1.21776666
  17.80000000  931.38064435    4.82875779    1.10294400    7.56460817    1.21777246
  17.90000000  931.86350854    4.82852613    1.10289131    7.56471633    1.21777827
  18.00000000  932.34634957    4.82829446    1.10283862    7.56482449    1.21778407
  18.10000000  932.82916743    4.82806278    1.10278594    7.56493265    1.21778988
  18.20000000  933.31196212    4.82783109    1.10273326    7.56504081    1.21779568
  18.30000000  933.79473364    4.82759939    1.10268059    7.56514897    1.21780148
  18.40000000  934.27748199    4.82736768    1.10262792    7.56525712    1.21780729
  18.50000000  934.76020717    4.82713595    1.10257525    7.56536527    1.21781309
  18.60000000  935.24290918    4.82690422    1.10252260    7.56547343    1.21781889
  18.70000000  935.72558801    4.82667248    1.10246994    7.56558158    1.21782470
  18.80000000  936.20824367    4.82644073    1.10241729    7.56568973    1.21783050
  18.90000000  936.69087615    4.82620896    1.10236465    7.56579788    1.21783630
  19.00000000  937.17348546    4.82597719    1.10231201    7.56590603    1.21784210
  19.10000000  937.65607158    4.82574540    1.10225937    7.56601417    1.21784791
  19.20000000  938.13863453    4.82551361    1.10220674    7.56612232    1.21785371
  19.30000000  938.62117430    4.82528180    1.10215411    7.56623046    1.21785951
  19.40000000  939.10369089    4.82504999    1.10210149    7.56633860    1.21786531
  19.50000000  939.58618429    4.82481816    1.10204887    7.56644675    1.21787112
  19.60000000  940.06865451    4.82458633    1.10199626    7.56655489    1.21787692
  19.70000000  940.55110155    4.82435448    1.10194365    7.56666303    1.21788272
  19.80000000  941.03352540    4.82412262    1.10189105    7.56677116    1.21788852
  19.90000000  941.51592607    4.82389075    1.10183845    7.56687930    1.21789432
  20.00000000  941.99830355    4.82365887    1.10178585    7.56698744    1.21790012
  20.10000000  942.48065784    4.82342699    1.10173327    7.56709557    1.21790593
  20.20000000  942.96298894    4.82319509    1.10168068    7.56720370    1.21791173
  20.30000000  943.44529685    4.82296318    1.10162810    7.56731183    1.21791753
  20.40000000  943.92758157    4.82273126    1.10157552    7.56741996    1.21792333
  20.50000000  944.40984310    4.82249933    1.10152295    7.56752809    1.21792913
  20.60000000  944.89208143    4.82226739    1.10147039    7.56763622    1.21793493
  20.70000000  945.37429657    4.82203543    1.10141782    7.56774435    1.21794073
  20.80000000  945.85648851    4.82180347    1.10136527    7.56785247    1.21794653
  20.90000000  946.33865726    4.82157150    1.10131271    7.56796060    1.21795233
  21.00000000  946.82080281    4.82133952    1.10126017    7.56806872    1.21795813
  21.10000000  947.30292516    4.82110752    1.10120762    7.56817684    1.21796393
  21.20000000  947.78502431    4.82087552    1.10115508    7.56828496    1.21796973
  21.30000000  948.26710026    4.82064351    1.10110255    7.56839308    1.21797553
  21.40000000  948.74915301    4.82041148    1.10105002    7.56850120    1.21798133
  21.50000000  949.23118255    4.82017945    1.10099750    7.56860932    1.21798713
  21.60000000  949.71318889    4.81994740    1.10094498    7.56871743    1.21799293
  21.70000000  950.19517202    4.81971535    1.10089246    7.56882555    1.21799873
  21.80000000  950.67713195    4.81948328    1.10083995    7.56893366    1.21800453
  21.90000000  951.15906867    4.81925120    1.10078744    7.56904177    1.21801033
  22.00000000  951.64098219    4.81901912    1.10073494    7.56914989    1.21801613
  22.10000000  952.12287249    4.81878702    1.10068244    7.56925799    1.21802193
  22.20000000  952.60473959    4.81855491    1.10062995    7.56936610    1.21802773
  22.30000000  953.08658347    4.81832279    1.10057746    7.56947421    1.21803352
  22.40000000  953.56840414    4.81809067    1.10052498    7.56958232    1.21803932
  22.50000000  954.05020160    4.81785853    1.10047250    7.56969042    1.21804512
  22.60000000  954.53197584    4.81762638    1.10042003    7.56979852    1.21805092
  22.70000000  955.01372687    4.81739422    1.10036756    7.56990663    1.21805672
  22.80000000  955.49545468    4.81716205    1.10031509    7.57001473    1.21806252
  22.90000000  955.97715927    4.81692987    1.10026263    7.57012283    1.21806831
  23.00000000  956.45884065    4.81669768    1.10021018    7.57023092    1.21807411
  23.10000000  956.94049880    4.81646547    1.10015773    7.57033902    1.21807991
  23.20000000  957.42213374    4.81623326    1.10010528    7.57044712    1.21808571
  23.30000000  957.90374545    4.81600104    1.10005284    7.57055521    1.21809150
  23.40000000  958.38533394    4.81576881    1.10000040    7.57066331    1.21809730
  23.50000000  958.86689921    4.81553656    1.09994797    7.57077140    1.21810310
  23.60000000  959.34844125    4.81530431    1.09989554    7.57087949    1.21810890
  23.70000000  959.82996007    4.81507205    1.09984312    7.57098758    1.21811469
  23.80000000  960.31145565    4.81483977    1.09979070    7.57109567    1.21812049
  23.90000000  960.79292801    4.81460749    1.09973829    7.57120375    1.21812629
  24.00000000  961.27437715    4.81437519    1.09968588    7.57131184    1.21813208
  24.10000000  961.75580305    4.81414289    1.09963347    7.57141992    1.21813788
  24.20000000  962.23720572    4.81391057    1.09958107    7.57152801    1.21814368
  24.30000000  962.71858516    4.81367824    1.09952868    7.57163609    1.21814947
  24.40000000  963.19994136    4.81344591    1.09947629    7.57174417    1.21815527
  24.50000000  963.68127433    4.81321356    1.09942390    7.57185225    1.21816106
  24.60000000  964.16258407    4.81298120    1.09937152    7.57196033    1.21816686
  24.70000000  964.64387057    4.81274883    1.09931914    7.57206840    1.21817265
  24.80000000  965.12513383    4.81251645    1.09926677    7.57217648    1.21817845
  24.90000000  965.60637386    4.81228406    1.09921440    7.57228455    1.21818425
  25.00000000  966.08759064    4.81205166    1.09916204    7.57239263    1.21819004
  25.10000000  966.56878418    4.81181925    1.09910968    7.57250070    1.21819584
  25.20000000  967.04995449    4.81158683    1.09905733    7.57260877    1.21820163
  25.30000000  967.53110155    4.81135440    1.09900498    7.57271684    1.21820743
  25.40000000  968.01222536    4.81112196    1.09895263    7.57282491    1.21821322
