    Raio_b        Beta
   1.24360950 17827226.82716445
   1.24379162 17816872.15980545
   1.24397378 17806532.32069811
   1.24415599 17796207.29638254
   1.24433825 17785897.07340854
   1.24452055 17775601.63833505
   1.24470289 17765320.97773023
   1.24488529 17755055.07817184
   1.24506772 17744803.92624669
   1.24525020 17734567.50855115
   1.24543273 17724345.81169083
   1.24561530 17714138.82228054
   1.24579792 17703946.52694447
   1.24598059 17693768.91231633
   1.24616330 17683605.96503865
   1.24634605 17673457.67176364
   1.24652885 17663324.01915269
   1.24671170 17653204.99387642
   1.24689459 17643100.58261477
   1.24707753 17633010.77205702
   1.24726051 17622935.54890137
   1.24744354 17612874.89985589
   1.24762661 17602828.81163709
   1.24780973 17592797.27097160
   1.24799289 17582780.26459470
   1.24817611 17572777.77925117
   1.24835936 17562789.80169483
   1.24854266 17552816.31868895
   1.24872601 17542857.31700582
   1.24890941 17532912.78342701
   1.24909284 17522982.70474332
   1.24927633 17513067.06775490
   1.24945986 17503165.85927082
   1.24964344 17493279.06610956
   1.24982706 17483406.67509865
   1.25001073 17473548.67307489
   1.25019444 17463705.04688423
   1.25037820 17453875.78338182
   1.25056201 17444060.86943196
   1.25074586 17434260.29190823
   1.25092976 17424474.03769304
   1.25111370 17414702.09367824
   1.25129769 17404944.44676488
   1.25148173 17395201.08386286
   1.25166581 17385471.99189152
   1.25184993 17375757.15777912
   1.25203411 17366056.56846317
   1.25221833 17356370.21089021
   1.25240259 17346698.07201606
   1.25258690 17337040.13880546
   1.25277126 17327396.39823230
   1.25295566 17317766.83727973
   1.25314011 17308151.44293975
   1.25332461 17298550.20221363
   1.25350915 17288963.10211164
   1.25369374 17279390.12965328
   1.25387837 17269831.27186691
   1.25406305 17260286.51579007
   1.25424778 17250755.84846944
   1.25443255 17241239.25696045
   1.25461737 17231736.72832803
   1.25480223 17222248.24964593
   1.25498714 17212773.80799685
   1.25517210 17203313.39047276
   1.25535710 17193866.98417447
   1.25554215 17184434.57621191
   1.25572725 17175016.15370391
   1.25591239 17165611.70377864
   1.25609758 17156221.21357298
   1.25628281 17146844.67023277
   1.25646810 17137482.06091318
   1.25665342 17128133.37277806
   1.25683880 17118798.59300051
   1.25702422 17109477.70876242
   1.25720968 17100170.70725465
   1.25739520 17090877.57567738
   1.25758076 17081598.30123924
   1.25776636 17072332.87115811
   1.25795202 17063081.27266107
   1.25813771 17053843.49298362
   1.25832346 17044619.51937076
   1.25850925 17035409.33907593
   1.25869509 17026212.93936185
   1.25888098 17017030.30750019
   1.25906691 17007861.43077134
   1.25925289 16998706.29646474
   1.25943891 16989564.89187874
   1.25962498 16980437.20432065
   1.25981110 16971323.22110661
   1.25999726 16962222.92956163
   1.26018348 16953136.31701983
   1.26036973 16944063.37082400
   1.26055604 16935004.07832594
   1.26074239 16925958.42688634
   1.26092879 16916926.40387469
   1.26111523 16907907.99666949
   1.26130172 16898903.19265787
   1.26148826 16889911.97923607
   1.26167485 16880934.34380915
   1.26186148 16871970.27379095
   1.26204816 16863019.75660421
   1.26223488 16854082.77968052
   1.26242166 16845159.33046005
   1.26260847 16836249.39639248
   1.26279534 16827352.96493559
   1.26298225 16818470.02355623
   1.26316921 16809600.55973028
   1.26335622 16800744.56094226
   1.26354327 16791902.01468542
   1.26373037 16783072.90846213
   1.26391752 16774257.22978293
   1.26410472 16765454.96616799
   1.26429196 16756666.10514563
   1.26447925 16747890.63425324
   1.26466658 16739128.54103700
   1.26485396 16730379.81305158
   1.26504139 16721644.43786085
   1.26522887 16712922.40303708
   1.26541639 16704213.69616150
   1.26560397 16695518.30482407
   1.26579158 16686836.21662346
   1.26597925 16678167.41916703
   1.26616696 16669511.90007094
   1.26635472 16660869.64696017
   1.26654253 16652240.64746842
   1.26673038 16643624.88923788
   1.26691828 16635022.35991961
   1.26710623 16626433.04717371
   1.26729422 16617856.93866824
   1.26748227 16609294.02208066
   1.26767036 16600744.28509687
   1.26785849 16592207.71541151
   1.26804668 16583684.30072771
   1.26823491 16575174.02875760
   1.26842319 16566676.88722178
   1.26861152 16558192.86384954
   1.26879989 16549721.94637900
   1.26898831 16541264.12255669
   1.26917678 16532819.38013801
   1.26936530 16524387.70688688
   1.26955386 16515969.09057609
   1.26974247 16507563.51898675
   1.26993113 16499170.97990887
   1.27011984 16490791.46114093
   1.27030859 16482424.95049024
   1.27049739 16474071.43577248
   1.27068624 16465730.90481225
   1.27087513 16457403.34544231
   1.27106408 16449088.74550451
   1.27125307 16440787.09284919
   1.27144211 16432498.37533507
   1.27163119 16424222.58082964
   1.27182033 16415959.69720895
   1.27200951 16407709.71235773
   1.27219874 16399472.61416901
   1.27238802 16391248.39054475
   1.27257734 16383037.02939520
   1.27276671 16374838.51863934
   1.27295613 16366652.84620471
   1.27314560 16358480.00002728
   1.27333512 16350319.96805166
   1.27352468 16342172.73823103
   1.27371429 16334038.29852705
   1.27390395 16325916.63690999
   1.27409365 16317807.74135853
   1.27428341 16309711.59985991
   1.27447321 16301628.20041001
   1.27466306 16293557.53101323
   1.27485296 16285499.57968231
   1.27504291 16277454.33443859
   1.27523290 16269421.78331189
   1.27542294 16261401.91434055
   1.27561303 16253394.71557146
   1.27580317 16245400.17505988
   1.27599335 16237418.28086963
   1.27618359 16229449.02107304
   1.27637387 16221492.38375073
   1.27656420 16213548.35699210
   1.27675457 16205616.92889465
   1.27694500 16197698.08756469
